Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Deck,Title,New_ticket
0,3,male,22.0,1,0,7.25,-999,S,-999,Mr,1
1,1,female,38.0,1,0,71.2833,C85,C,C,Mrs,1
1,3,female,26.0,0,0,7.925,-999,S,-999,Miss,1
1,1,female,35.0,1,0,53.1,C123,S,C,Mrs,0
0,3,male,35.0,0,0,8.05,-999,S,-999,Mr,0
0,3,male,-999.0,0,0,8.4583,-999,Q,-999,Mr,0
0,1,male,54.0,0,0,51.8625,E46,S,E,Mr,0
0,3,male,2.0,3,1,21.075,-999,S,-999,Master,0
1,3,female,27.0,0,2,11.1333,-999,S,-999,Mrs,0
1,2,female,14.0,1,0,30.0708,-999,C,-999,Mrs,0
1,3,female,4.0,1,1,16.7,G6,S,G,Miss,1
1,1,female,58.0,0,0,26.55,C103,S,C,Miss,0
0,3,male,20.0,0,0,8.05,-999,S,-999,Mr,1
0,3,male,39.0,1,5,31.275,-999,S,-999,Mr,0
0,3,female,14.0,0,0,7.8542,-999,S,-999,Miss,0
1,2,female,55.0,0,0,16.0,-999,S,-999,Mrs,0
0,3,male,2.0,4,1,29.125,-999,Q,-999,Master,0
1,2,male,-999.0,0,0,13.0,-999,S,-999,Mr,0
0,3,female,31.0,1,0,18.0,-999,S,-999,Mrs,0
1,3,female,-999.0,0,0,7.225,-999,C,-999,Mrs,0
0,2,male,35.0,0,0,26.0,-999,S,-999,Mr,0
1,2,male,34.0,0,0,13.0,D56,S,D,Mr,0
1,3,female,15.0,0,0,8.0292,-999,Q,-999,Miss,0
1,1,male,28.0,0,0,35.5,A6,S,A,Mr,0
0,3,female,8.0,3,1,21.075,-999,S,-999,Miss,0
1,3,female,38.0,1,5,31.3875,-999,S,-999,Mrs,0
0,3,male,-999.0,0,0,7.225,-999,C,-999,Mr,0
0,1,male,19.0,3,2,263.0,C23 C25 C27,S,C,Mr,0
1,3,female,-999.0,0,0,7.8792,-999,Q,-999,Miss,0
0,3,male,-999.0,0,0,7.8958,-999,S,-999,Mr,0
0,1,male,40.0,0,0,27.7208,-999,C,-999,Don,1
1,1,female,-999.0,1,0,146.5208,B78,C,B,Mrs,1
1,3,female,-999.0,0,0,7.75,-999,Q,-999,Miss,0
0,2,male,66.0,0,0,10.5,-999,S,-999,Mr,1
0,1,male,28.0,1,0,82.1708,-999,C,-999,Mr,1
0,1,male,42.0,1,0,52.0,-999,S,-999,Mr,0
1,3,male,-999.0,0,0,7.2292,-999,C,-999,Mr,0
0,3,male,21.0,0,0,8.05,-999,S,-999,Mr,1
0,3,female,18.0,2,0,18.0,-999,S,-999,Miss,0
1,3,female,14.0,1,0,11.2417,-999,C,-999,Miss,0
0,3,female,40.0,1,0,9.475,-999,S,-999,Mrs,0
0,2,female,27.0,1,0,21.0,-999,S,-999,Mrs,0
0,3,male,-999.0,0,0,7.8958,-999,C,-999,Mr,0
1,2,female,3.0,1,2,41.5792,-999,C,-999,Miss,1
1,3,female,19.0,0,0,7.8792,-999,Q,-999,Miss,0
0,3,male,-999.0,0,0,8.05,-999,S,-999,Mr,1
0,3,male,-999.0,1,0,15.5,-999,Q,-999,Mr,0
1,3,female,-999.0,0,0,7.75,-999,Q,-999,Miss,0
0,3,male,-999.0,2,0,21.6792,-999,C,-999,Mr,0
0,3,female,18.0,1,0,17.8,-999,S,-999,Mrs,0
0,3,male,7.0,4,1,39.6875,-999,S,-999,Master,0
0,3,male,21.0,0,0,7.8,-999,S,-999,Mr,1
1,1,female,49.0,1,0,76.7292,D33,C,D,Mrs,1
1,2,female,29.0,1,0,26.0,-999,S,-999,Mrs,0
0,1,male,65.0,0,1,61.9792,B30,C,B,Mr,0
1,1,male,-999.0,0,0,35.5,C52,S,C,Mr,0
1,2,female,21.0,0,0,10.5,-999,S,-999,Miss,1
0,3,male,28.5,0,0,7.2292,-999,C,-999,Mr,0
1,2,female,5.0,1,2,27.75,-999,S,-999,Miss,1
0,3,male,11.0,5,2,46.9,-999,S,-999,Master,1
0,3,male,22.0,0,0,7.2292,-999,C,-999,Mr,0
1,1,female,38.0,0,0,80.0,B28,-999,B,Miss,0
0,1,male,45.0,1,0,83.475,C83,S,C,Mr,0
0,3,male,4.0,3,2,27.9,-999,S,-999,Master,0
0,1,male,-999.0,0,0,27.7208,-999,C,-999,Mr,1
1,3,male,-999.0,1,1,15.2458,-999,C,-999,Master,0
1,2,female,29.0,0,0,10.5,F33,S,F,Mrs,1
0,3,male,19.0,0,0,8.1583,-999,S,-999,Mr,1
1,3,female,17.0,4,2,7.925,-999,S,-999,Miss,0
0,3,male,26.0,2,0,8.6625,-999,S,-999,Mr,0
0,2,male,32.0,0,0,10.5,-999,S,-999,Mr,1
0,3,female,16.0,5,2,46.9,-999,S,-999,Miss,1
0,2,male,21.0,0,0,73.5,-999,S,-999,Mr,1
0,3,male,26.0,1,0,14.4542,-999,C,-999,Mr,0
1,3,male,32.0,0,0,56.4958,-999,S,-999,Mr,0
0,3,male,25.0,0,0,7.65,F G73,S,F,Mr,0
0,3,male,-999.0,0,0,7.8958,-999,S,-999,Mr,0
0,3,male,-999.0,0,0,8.05,-999,S,-999,Mr,0
1,2,male,0.83,0,2,29.0,-999,S,-999,Master,0
1,3,female,30.0,0,0,12.475,-999,S,-999,Miss,0
0,3,male,22.0,0,0,9.0,-999,S,-999,Mr,0
1,3,male,29.0,0,0,9.5,-999,S,-999,Mr,0
1,3,female,-999.0,0,0,7.7875,-999,Q,-999,Miss,0
0,1,male,28.0,0,0,47.1,-999,S,-999,Mr,0
1,2,female,17.0,0,0,10.5,-999,S,-999,Miss,1
1,3,female,33.0,3,0,15.85,-999,S,-999,Mrs,0
0,3,male,16.0,1,3,34.375,-999,S,-999,Mr,1
0,3,male,-999.0,0,0,8.05,-999,S,-999,Mr,1
1,1,female,23.0,3,2,263.0,C23 C25 C27,S,C,Miss,0
0,3,male,24.0,0,0,8.05,-999,S,-999,Mr,0
0,3,male,29.0,0,0,8.05,-999,S,-999,Mr,0
0,3,male,20.0,0,0,7.8542,-999,S,-999,Mr,0
0,1,male,46.0,1,0,61.175,E31,S,E,Mr,1
0,3,male,26.0,1,2,20.575,-999,S,-999,Mr,1
0,3,male,59.0,0,0,7.25,-999,S,-999,Mr,0
0,3,male,-999.0,0,0,8.05,-999,S,-999,Mr,0
0,1,male,71.0,0,0,34.6542,A5,C,A,Mr,1
1,1,male,23.0,0,1,63.3583,D10 D12,C,D,Mr,1
1,2,female,34.0,0,1,23.0,-999,S,-999,Mrs,0
0,2,male,34.0,1,0,26.0,-999,S,-999,Mr,0
0,3,female,28.0,0,0,7.8958,-999,S,-999,Miss,0
0,3,male,-999.0,0,0,7.8958,-999,S,-999,Mr,0
0,1,male,21.0,0,1,77.2875,D26,S,D,Mr,0
0,3,male,33.0,0,0,8.6542,-999,S,-999,Mr,0
0,3,male,37.0,2,0,7.925,-999,S,-999,Mr,0
0,3,male,28.0,0,0,7.8958,-999,S,-999,Mr,0
1,3,female,21.0,0,0,7.65,-999,S,-999,Miss,0
1,3,male,-999.0,0,0,7.775,-999,S,-999,Mr,0
0,3,male,38.0,0,0,7.8958,-999,S,-999,Mr,0
1,3,female,-999.0,1,0,24.15,-999,Q,-999,Miss,0
0,1,male,47.0,0,0,52.0,C110,S,C,Mr,0
0,3,female,14.5,1,0,14.4542,-999,C,-999,Miss,0
0,3,male,22.0,0,0,8.05,-999,S,-999,Mr,0
0,3,female,20.0,1,0,9.825,-999,S,-999,Miss,0
0,3,female,17.0,0,0,14.4583,-999,C,-999,Miss,0
0,3,male,21.0,0,0,7.925,-999,S,-999,Mr,1
0,3,male,70.5,0,0,7.75,-999,Q,-999,Mr,0
0,2,male,29.0,1,0,21.0,-999,S,-999,Mr,0
0,1,male,24.0,0,1,247.5208,B58 B60,C,B,Mr,1
0,3,female,2.0,4,2,31.275,-999,S,-999,Miss,0
0,2,male,21.0,2,0,73.5,-999,S,-999,Mr,1
0,3,male,-999.0,0,0,8.05,-999,S,-999,Mr,1
0,2,male,32.5,1,0,30.0708,-999,C,-999,Mr,0
1,2,female,32.5,0,0,13.0,E101,S,E,Miss,0
0,1,male,54.0,0,1,77.2875,D26,S,D,Mr,0
1,3,male,12.0,1,0,11.2417,-999,C,-999,Master,0
